4 1256.780290 232.780290 1256.780290 1.000000 1024.000000
16 1481.481086 457.481086 224.700795 0.250000 1024.000000
64 1233.237577 209.237577 248.243509 0.250000 1024.000000
256 1105.105142 81.105142 128.132435 0.062500 1024.000000
1024 1088.605816 64.605816 16.499326 0.062500 1024.000000
4096 1072.481439 48.481439 16.124377 0.015625 1024.000000
16384 1029.374088 5.374088 43.107351 0.015625 1024.000000
65536 1023.326579 0.673421 6.047510 0.003906 1024.000000
262144 1021.480172 2.519828 1.846406 0.003906 1024.000000
1048576 1022.325438 1.674562 0.845265 0.000977 1024.000000
4194304 1024.552315 0.552315 2.226878 0.000977 1024.000000
16777216 1024.527145 0.527145 0.025170 0.000244 1024.000000
67108864 1024.252863 0.252863 0.274282 0.000244 1024.000000
268435456 1024.173183 0.173183 0.079681 0.000061 1024.000000
1073741824 1024.097598 0.097598 0.075585 0.000061 1024.000000
