2 5.707963e-01 
4 3.746299e-02 
8 6.802185e-03 
16 1.481476e-03 
32 3.468608e-04 
64 8.398421e-05 
128 2.066671e-05 
256 5.126234e-06 
512 1.276547e-06 
1024 3.185132e-07 
2048 7.955053e-08 
4096 1.987792e-08 
8192 4.968271e-09 
16384 1.241907e-09 
32768 3.104523e-10 
65536 7.760614e-11 
131072 1.941536e-11 
262144 4.853451e-12 
524288 1.169509e-12 
1048576 2.582379e-13 
2097152 3.841372e-14 
4194304 2.173817e-13 
8388608 5.462297e-14 
16777216 4.085621e-14 
33554432 1.600942e-13 
67108864 6.727952e-14 
134217728 1.738609e-13 
268435456 7.860379e-14 
